StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
50,0,201111,3.28,3.6,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-3.1,10.3
50,0,201112,4.66,9.4,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,3,15.9
50,0,201201,2.79,-12.8,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-20.2,-5.4
50,0,201202,2.74,12.1,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,4.7,19.4
50,0,201203,1.82,4.3,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-5,13.6
50,0,201204,1.05,27.3,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,18.1,36.5
50,0,201205,2.63,37.2,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,28.9,45.6
50,0,201206,2.88,50.5,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,41.6,59.3
50,0,201207,4.21,52,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,44.6,59.3
50,0,201208,4.52,49.9,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,42.4,57.3
50,0,201209,7.25,40.6,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,34.5,46.7
50,0,201210,2.95,25.5,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,19.1,32
50,0,201211,1.98,6,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-0.1,12
50,0,201212,2.46,-0.8,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-7.3,5.8
50,0,201301,3.51,9.8,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,3.9,15.8
50,0,201302,2.84,6.3,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-0.8,13.4
50,0,201303,1.74,11,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,1.7,20.3
50,0,201304,1.89,16.7,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,7,26.5
50,0,201305,2.39,35.2,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,25.9,44.6
50,0,201306,1.76,53.9,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,43.5,64.4
50,0,201307,3.12,55,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,46.6,63.4
50,0,201308,4.54,51.4,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,43.7,59
50,0,201309,5.42,39.6,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,33.7,45.5
50,0,201310,6.43,34,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,28.8,39.2
